book_id,Title,description,review_count,average_rating
0394779959,Summer of My German Soldier,It is worth reading,206,4.05
0739317040,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",It is worth reading,200,4.14
B0006A0126,Live from New York: An Uncensored History of Saturday Night Live,It is worth reading,188,3.98
B000K9UV8C,Desert Solitaire: A Season in the Wilderness,It is worth reading,187,4.53
B000PDFO2Q,Small Gods,It is worth reading,181,4.57
B000GSDVFC,Lord of Light,It is worth reading,178,4.71
B000U2M5HO,Jude the Obscure,It is worth reading,167,4.02
B000PVKWH0,Mothman Prophecies,It is worth reading,166,3.44
0345473043,"Halo, Books 1-3 (The Flood; First Strike; The Fall of Reach)",It is worth reading,161,4.67
B000PHIIM0,Leaves of Grass,It is worth reading,158,4.27
B000O3QCH8,From Potter's Field,It is worth reading,157,3.78
B0007BUILI,How to lie with statistics / by Darrell Huff,It is worth reading,154,4.56
B000L1WSBC,Candide and Other Writings,It is worth reading,154,4.28
1588550346,The Canterbury Tales,It is worth reading,151,4.17
B000MV8HNE,Light from Heaven (The Mitford Years #9),It is worth reading,149,3.98
B000GKR7V4,Scary Stories to Tell in the Dark,It is worth reading,148,3.45
B000KCSGPE,Mother Night,It is worth reading,146,4.72
0764554972,ASVAB for Dummies,It is worth reading,145,4.42
B00086TLE2,Up from slavery: An autobiography,It is worth reading,143,4.47
0316099066,Dr. Bernstein's Diabetes Solution: The Complete Guide to Achieving Normal Blood Sugars Revised & Updated,It is worth reading,143,4.68
0333168925,Life and Death of the Mayor of Casterbridge (New Wessex editions),It is worth reading,142,4.18
1404318372,The Mayor of Casterbridge,It is worth reading,142,4.18
1404318364,"Mayor of Casterbridge, the",It is worth reading,142,4.18
0812924835,No Disrespect,It is worth reading,141,4.33
B000NU0RZA,The Transall Saga,It is worth reading,139,4.72
0671551345,Night World: Daughters Of Darkness,It is worth reading,134,4.77
0130105341,Just Java 2,It is worth reading,129,4.01
0553107488,Dawn on a Distant Shore,It is worth reading,129,4.12
0312267932,When All Hell Breaks Loose,It is worth reading,126,4.13
B000MCKQRS,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),It is worth reading,124,4.11
B000NSKB12,The Castle in the Attic,It is worth reading,118,4.47
0736662138,"The Cases That Haunt Us: From Jack The Ripper To Jon Benet Ransey, The",It is worth reading,117,3.95
B000GQMUG0,Jim the Boy,It is worth reading,116,3.86
B000LEJ3IU,Foundation and Earth,It is worth reading,114,3.68
0792723287,Resurrection Day,It is worth reading,114,3.94
0736645586,King Rat,It is worth reading,113,4.5
B000KJPK10,Roman Catholicism,It is worth reading,112,2.07
B000GP1QHK,The Long Dark Tea-Time of the Soul,It is worth reading,111,4.01
0955005108,Autumn,It is worth reading,110,3.36
0786191570,"The Paradise War (The Song of Albion trilogy, Book 1)",It is worth reading,107,4.26
0684813483,The Pie and Pastry Bible,It is worth reading,104,4.36
B000K5Q9JQ,The Art of Loving,It is worth reading,104,4.55
061334006X,Men At Arms (Turtleback School & Library Binding Edition) (Discworld Novels),It is worth reading,104,4.49
B000HU0H2E,Island,It is worth reading,103,4.14
1931160171,The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,It is worth reading,102,4.53
B000JX6XD6,Exit to Eden,It is worth reading,101,3.68
0061149055,Fear of Flying CD,It is worth reading,99,3.84
B000IYBQUQ,Nappily Ever After,It is worth reading,98,3.82
0756623588,The Marvel Encyclopedia: The Definitive Guide to the Characters of the Marvel Universe,It is worth reading,98,4.26
050552421X,The Scarletti Curse (Candleglow),It is worth reading,97,4.14
0967149215,A Philadelphia Catholic in King James's Court,It is worth reading,94,3.71
B0009KKVZU,Moll Flanders,It is worth reading,93,3.92
0373255802,Getting Rid Of Bradley (Harlequin Temptation #480),It is worth reading,92,3.98
0505524228,Stuck with You (Time of Your Life),It is worth reading,91,3.8
B0007J1MEM,Zorba the Greek,It is worth reading,91,4.47
0840745745,The Anger Workbook: A 13-Step Interactive Plan to Help You... (Minirth-Meier Clinic Series),It is worth reading,89,3.6
B000GS46F6,COCKTAILS FOR THREE,It is worth reading,86,4.0
B000KWDVVI,Pushing Ice,It is worth reading,83,3.96
140135923X,"Semi-Homemade Cooking: Quick, Marvelous Meals and Nothing is Made from scratch",It is worth reading,81,3.98
158855032X,Hard Times,It is worth reading,81,3.81
0192854496,The Triumph of the Moon: A History of Modern Pagan Witchcraft,It is worth reading,80,4.25
0380633132,We,It is worth reading,80,4.44
B00004WISA,Pilgrim's Progress,It is worth reading,80,4.56
0553234080,Goodbye Columbus,It is worth reading,78,4.05
